class_index,class_name,excluded_from_evaluation,pixel_count,pixel_proportion,rgb,split
11,LaneMkgsNonDriv,False,4308,2.6864822796934866e-05,"192,0,64",test
12,Misc_Text,False,755379,0.004710567079741379,"128,128,64",test
13,MotorcycleScooter,False,30257,0.00018868359873882502,"192,0,192",test
14,OtherMoving,False,483681,0.003016249850335249,"128,64,64",test
15,ParkingBlock,False,553125,0.0034493048072318008,"64,192,128",test
16,Pedestrian,False,1097196,0.006842148587164751,"64,64,0",test
17,Road,False,39532702,0.24652716664671137,"128,64,128",test
18,RoadShoulder,False,340179,0.002121366888170498,"128,128,192",test
19,Sidewalk,False,9212977,0.057452412845226696,"0,0,192",test
20,SignSymbol,False,167219,0.0010427829162675606,"192,128,128",test
21,Sky,False,27392248,0.17081891562899107,"128,128,128",test
22,SUVPickupTruck,False,1538591,0.00959470161837484,"64,128,192",test
23,TrafficCone,False,1581,9.859165469348659e-06,"0,0,64",test
24,TrafficLight,False,586715,0.0036587730982598978,"0,64,64",test
25,Train,False,0,0.0,"192,64,128",test
26,Tree,False,17685203,0.11028547927642082,"128,128,0",test
27,Truck_Bus,False,1835435,0.011445830090597063,"192,128,192",test
28,Tunnel,False,0,0.0,"64,0,64",test
29,VegetationMisc,False,951959,0.005936446110712005,"192,192,0",test
30,Void,True,6198327,0.0386529611170977,"0,0,0",test
31,Wall,False,2576710,0.01606844418502554,"64,192,0",test
